,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1659999866,-1390,5003,750,0.53,0.038,0.216,90.4,red,219,TRUE
1,1659999866,-1290,5832,882,5.315,0.083,-0.013,89.1,yellow,219,TRUE
2,1659999866,-1651,5775,2526,4.59,0.019,0.036,83.4,green,219,TRUE
3,1659999868,-1386,5003,750,0.53,0.038,0.216,91.9,red,219,TRUE
4,1659999868,-1282,5835,882,5.315,0.083,-0.013,88.9,yellow,219,TRUE
5,1659999868,-1637,5764,2526,4.59,0.019,0.036,94.1,green,219,TRUE
6,1659999868,3033,-2574,3350,5.331,-0.869,-0.136,90.4,blue,219,TRUE
7,1659999868,-1381,5007,750,0.53,0.038,0.216,89.2,red,219,TRUE
8,1659999868,-1288,5834,882,5.315,0.083,-0.013,87.4,yellow,219,TRUE
9,1659999869,-1632,5761,2526,4.59,0.019,0.036,89.6,green,219,TRUE
10,1659999870,-1383,5008,750,0.53,0.038,0.216,91.8,red,219,TRUE
11,1659999870,-1299,5824,882,5.315,0.083,-0.013,84.5,yellow,219,TRUE
12,1659999870,-1599,5728,2526,4.59,0.019,0.036,81.5,green,219,TRUE
13,1659999872,-1384,5011,750,0.53,0.038,0.216,89.6,red,219,TRUE
14,1659999872,-1296,5824,882,5.315,0.083,-0.013,90.9,yellow,219,TRUE
15,1659999872,-1563,5683,2526,4.59,0.019,0.036,85,green,219,TRUE
16,1659999872,3025,-2558,3350,5.334,-1,-0.159,88.5,blue,219,TRUE
17,1659999872,-1388,5012,750,0.53,0.038,0.216,92.7,red,219,TRUE
18,1659999872,-1285,5824,882,5.315,0.083,-0.013,89.4,yellow,219,TRUE
19,1659999872,-1536,5649,2526,4.59,0.019,0.036,90.9,green,219,TRUE
20,1659999874,-1390,5014,750,0.53,0.038,0.216,91.5,red,219,TRUE
21,1659999874,-1286,5836,882,5.315,0.083,-0.013,87.4,yellow,219,TRUE
22,1659999875,-1401,5017,750,0.53,0.038,0.216,91.7,red,219,TRUE
23,1659999876,-1309,5827,882,5.315,0.083,-0.013,86.9,yellow,219,TRUE
24,1659999876,-1504,5657,2526,4.59,0.019,0.036,79.6,green,219,TRUE
25,1659999877,-1407,5020,750,0.53,0.038,0.216,88.1,red,219,TRUE
26,1659999877,-1278,5823,882,5.315,0.083,-0.013,85.8,yellow,219,TRUE
27,1659999877,-1538,5695,2526,4.59,0.019,0.036,83.4,green,219,TRUE
